Fish_Type,Pond_Size,Harvest_Month,Previous_Harvest_Quantity,Average_Harvest_Last_3_Records,Total_Historical_Harvest_Records,Harvest_Quantity
Tilapia,952,12,565,493,12,572
Milkfish (Bangus),580,10,418,403,8,438
Tilapia,671,1,460,439,22,498
Tilapia,1115,10,590,518,18,619
Catfish (Hito),1228,4,982,859,29,1095
Milkfish (Bangus),814,6,573,541,25,607
Tilapia,1242,1,722,686,20,817
Carp,799,7,474,462,15,448
Catfish (Hito),790,10,647,720,26,667
Milkfish (Bangus),803,5,731,743,22,824
Tilapia,1187,3,790,730,21,841
Milkfish (Bangus),985,12,893,918,3,854
Catfish (Hito),1271,3,975,947,23,1121
Carp,767,12,381,396,18,434
Tilapia,959,9,657,688,16,611
Catfish (Hito),1449,8,1171,1315,22,1215
Carp,1194,11,615,622,20,671
Catfish (Hito),901,8,577,559,27,561
Carp,790,9,413,450,6,414
Milkfish (Bangus),310,12,261,238,3,267
Milkfish (Bangus),1244,8,1033,940,9,894
Milkfish (Bangus),1361,9,1219,1132,18,1088
Catfish (Hito),839,6,702,632,16,688
Milkfish (Bangus),1330,8,1019,1025,18,942
Tilapia,1249,12,870,898,16,902
Catfish (Hito),1139,8,915,840,17,878
Milkfish (Bangus),1266,10,1016,1105,27,1019
Tilapia,1203,12,702,692,6,706
Catfish (Hito),734,2,498,530,25,526
Tilapia,1207,8,725,767,25,760
Carp,1251,12,710,761,13,735
Milkfish (Bangus),1255,1,1106,987,12,1011
Milkfish (Bangus),1498,7,1331,1487,27,1309
Catfish (Hito),608,4,448,415,6,516
Carp,255,7,141,130,7,125
Milkfish (Bangus),1070,5,902,994,12,1033
Catfish (Hito),1118,6,720,687,13,768
Catfish (Hito),1027,3,729,793,10,852
Milkfish (Bangus),951,10,820,851,27,783
Tilapia,383,10,255,249,30,255
Milkfish (Bangus),327,7,253,273,26,259
Catfish (Hito),595,9,480,440,3,399
Catfish (Hito),1195,4,826,771,12,959
Carp,621,12,345,318,8,339
Carp,353,7,205,226,7,187
Tilapia,516,11,370,387,28,365
Milkfish (Bangus),775,5,570,552,8,633
Carp,700,11,385,370,20,410
Carp,1348,5,781,736,12,768
Tilapia,1173,1,711,709,7,705
Carp,368,8,249,257,12,226
Catfish (Hito),298,3,196,198,19,233
Carp,779,4,393,345,11,427
Catfish (Hito),1355,2,981,1028,9,985
Tilapia,441,8,298,294,12,285
Catfish (Hito),1335,3,1087,1159,24,1285
Carp,1291,5,801,891,23,908
Tilapia,1048,7,723,710,17,706
Carp,1249,11,658,694,29,735
Catfish (Hito),1421,3,1025,1047,28,1097
Catfish (Hito),1469,3,1104,1189,10,1221
Catfish (Hito),514,6,421,422,8,379
Tilapia,1146,3,792,753,10,793
Carp,356,9,209,223,17,206
Milkfish (Bangus),680,6,528,587,10,521
Tilapia,1486,6,794,742,12,730
Milkfish (Bangus),1238,11,951,991,17,1013
Catfish (Hito),1425,5,1060,1148,29,1268
Milkfish (Bangus),864,6,622,664,22,706
Catfish (Hito),356,6,300,279,26,288
Catfish (Hito),1410,3,885,850,29,1039
Tilapia,527,9,289,263,12,279
Tilapia,1067,7,721,705,21,650
Tilapia,269,4,165,151,8,166
Tilapia,446,6,298,332,21,324
Carp,960,11,566,502,6,532
Milkfish (Bangus),738,12,572,599,14,649
Catfish (Hito),1211,6,875,768,20,859
Milkfish (Bangus),931,4,725,807,10,872
Catfish (Hito),845,6,599,594,20,580
Tilapia,800,9,436,469,22,434
Milkfish (Bangus),1103,11,939,965,20,1030
Carp,885,5,546,508,23,560
Catfish (Hito),780,7,547,531,10,523
Milkfish (Bangus),525,5,432,455,25,459
Tilapia,837,10,556,533,3,560
Catfish (Hito),655,4,446,460,18,516
Tilapia,713,11,400,360,8,427
Catfish (Hito),765,3,635,556,3,630
Milkfish (Bangus),1147,7,991,981,28,1017
Tilapia,299,7,214,238,30,205
Catfish (Hito),428,11,320,322,21,349
Carp,1025,9,573,519,11,504
Milkfish (Bangus),429,9,384,387,25,363
Catfish (Hito),1086,2,870,880,25,980
Tilapia,889,1,621,602,16,623
Tilapia,631,5,408,425,17,449
Milkfish (Bangus),522,11,417,463,27,432
Milkfish (Bangus),950,3,856,776,18,956
Catfish (Hito),914,10,665,585,19,624
Tilapia,579,6,387,386,12,354
Milkfish (Bangus),341,12,262,269,8,264
Tilapia,1353,4,729,800,8,838
Tilapia,782,5,561,592,29,582
Tilapia,992,3,704,632,30,731
Milkfish (Bangus),644,7,568,535,6,502
Milkfish (Bangus),363,6,275,270,16,262
Catfish (Hito),1443,7,1024,944,7,868
Catfish (Hito),503,11,332,332,4,347
Milkfish (Bangus),359,8,311,289,15,277
Tilapia,339,6,217,245,9,243
Carp,1475,7,726,693,14,668
Tilapia,267,9,171,164,5,152
Catfish (Hito),1145,4,907,846,12,975
Catfish (Hito),480,1,319,291,16,338
Milkfish (Bangus),579,12,546,482,7,529
Milkfish (Bangus),935,8,757,676,10,702
Carp,527,12,295,325,8,335
Milkfish (Bangus),1434,6,1203,1197,21,1267
Milkfish (Bangus),889,3,762,771,12,785
Tilapia,741,8,519,502,11,494
Carp,803,7,417,463,24,428
Catfish (Hito),575,8,394,381,9,381
Milkfish (Bangus),1437,3,1165,1150,21,1355
Milkfish (Bangus),1312,3,1200,1167,11,1332
Milkfish (Bangus),1459,9,1047,1070,22,985
Tilapia,1237,8,809,895,10,740
Carp,741,5,423,387,21,419
Carp,758,6,453,413,21,432
Tilapia,712,5,483,459,10,511
Carp,1404,4,822,730,18,835
Milkfish (Bangus),376,9,350,321,24,309
Tilapia,654,3,432,453,19,517
Milkfish (Bangus),619,8,526,499,21,519
Catfish (Hito),369,12,294,326,22,320
Milkfish (Bangus),652,8,587,587,26,577
Milkfish (Bangus),585,11,542,517,19,530
Catfish (Hito),1439,7,1133,1099,25,1141
Catfish (Hito),440,1,325,350,17,377
Catfish (Hito),1164,10,815,817,20,811
Milkfish (Bangus),275,2,258,272,17,292
Catfish (Hito),738,1,464,450,17,498
Milkfish (Bangus),569,1,503,495,3,505
Carp,562,6,326,324,18,329
Tilapia,257,5,146,144,28,158
Catfish (Hito),905,8,727,708,10,673
Tilapia,561,9,349,352,3,330
Carp,1453,3,941,891,22,1047
Tilapia,945,5,679,707,20,789
Tilapia,1157,10,761,758,6,776
Carp,1259,8,639,567,5,579
Tilapia,351,5,231,251,23,254
Carp,899,12,582,533,6,530
Catfish (Hito),506,1,330,340,25,381
Carp,1189,3,590,583,8,630
Carp,1124,3,635,571,12,680
Tilapia,482,1,270,303,22,319
Milkfish (Bangus),477,4,381,347,3,392
Catfish (Hito),1341,9,859,871,19,819
Catfish (Hito),1471,9,1108,1187,3,989
Catfish (Hito),465,6,383,387,13,382
Catfish (Hito),1229,12,870,872,26,957
Milkfish (Bangus),579,6,414,382,26,439
Milkfish (Bangus),675,4,509,513,7,611
Catfish (Hito),338,11,250,279,3,251
Catfish (Hito),1449,9,955,1034,27,1007
Catfish (Hito),890,4,707,761,14,838
Catfish (Hito),1498,6,1150,1259,16,1113
Carp,302,7,200,189,14,188
Carp,259,12,161,145,12,169
Carp,445,11,242,273,28,271
Tilapia,355,4,200,205,4,242
Milkfish (Bangus),754,3,641,647,15,728
Carp,840,4,562,540,22,564
Tilapia,407,5,250,279,18,296
Tilapia,900,11,525,569,25,521
Milkfish (Bangus),1025,6,910,993,29,925
Catfish (Hito),1281,11,944,835,18,865
Carp,939,4,583,635,4,704
Carp,377,8,196,194,29,203
Catfish (Hito),337,4,216,216,3,259
Carp,409,1,248,231,6,259
Milkfish (Bangus),1437,12,1279,1285,24,1397
Catfish (Hito),478,12,371,328,4,382
Tilapia,1115,11,655,652,29,710
Catfish (Hito),553,10,428,481,18,456
Catfish (Hito),397,5,303,276,16,315
Tilapia,605,11,388,354,6,379
Tilapia,462,6,270,298,23,266
Carp,903,10,481,477,11,502
Catfish (Hito),1395,7,884,935,11,886
Catfish (Hito),501,2,373,388,24,403
Catfish (Hito),799,8,628,572,8,580
Catfish (Hito),1248,10,761,716,23,760
Carp,995,7,553,607,28,531
Milkfish (Bangus),714,8,636,578,4,537
Carp,1219,12,594,518,17,612
Milkfish (Bangus),631,8,544,506,8,496
Milkfish (Bangus),724,7,536,499,8,465
Carp,635,10,411,397,28,403
Tilapia,959,10,554,524,26,533
Milkfish (Bangus),301,4,284,315,11,305
Carp,823,9,478,485,13,426
Tilapia,1303,7,839,874,30,826
Tilapia,668,9,436,384,7,413
Catfish (Hito),776,8,537,603,14,507
Carp,439,8,273,308,7,254
Tilapia,1382,12,885,779,10,864
Tilapia,1068,5,613,666,18,762
Milkfish (Bangus),824,11,740,690,20,764
Catfish (Hito),600,4,391,369,24,450
Carp,906,11,604,542,26,559
Tilapia,697,12,442,483,16,500
Milkfish (Bangus),273,9,240,238,15,215
Milkfish (Bangus),747,10,561,599,14,560
Carp,986,10,634,572,17,551
Tilapia,625,8,375,400,15,352
Catfish (Hito),356,7,287,314,14,289
Tilapia,947,1,626,583,23,647
Catfish (Hito),1214,8,907,902,11,839
Tilapia,362,1,260,235,21,255
Carp,310,3,213,212,3,219
Catfish (Hito),593,9,405,428,30,399
Tilapia,338,6,186,195,22,189
Tilapia,1183,11,782,686,24,777
Catfish (Hito),1488,12,976,1056,9,999
Catfish (Hito),1076,12,666,676,24,740
Catfish (Hito),629,2,416,401,27,484
Carp,488,4,253,252,25,276
Catfish (Hito),1098,8,871,980,25,881
Catfish (Hito),1212,1,972,1009,17,1082
Carp,544,11,344,317,16,318
Tilapia,1473,11,813,777,15,812
Milkfish (Bangus),1029,5,963,1001,28,1098
Catfish (Hito),652,12,439,394,27,490
Tilapia,1331,6,861,854,11,814
Catfish (Hito),608,7,454,448,6,424
Milkfish (Bangus),519,8,453,500,29,422
Catfish (Hito),1029,4,704,648,26,758
Milkfish (Bangus),591,2,468,440,15,508
Carp,316,11,200,183,12,184
Catfish (Hito),501,2,368,324,3,357
Catfish (Hito),1494,9,961,914,28,935
Tilapia,1306,7,714,644,25,670
Carp,1338,5,670,683,27,729
Milkfish (Bangus),1108,10,889,793,28,864
Tilapia,761,8,459,504,25,443
Catfish (Hito),447,6,286,269,11,292
Catfish (Hito),427,1,282,251,6,305
Catfish (Hito),1431,12,1089,1156,4,1218
Milkfish (Bangus),685,1,562,614,10,633
Tilapia,840,9,566,618,9,543
Milkfish (Bangus),1086,6,879,884,14,912
Milkfish (Bangus),1472,12,1119,1082,15,1095
Carp,621,10,358,327,5,327
Milkfish (Bangus),1242,6,1037,1145,9,1067
Tilapia,492,11,324,325,12,307
Milkfish (Bangus),808,3,621,639,18,659
Carp,671,9,366,376,25,361
Tilapia,645,5,392,365,28,457
Milkfish (Bangus),1183,10,829,750,22,834
Catfish (Hito),512,1,411,388,9,384
Tilapia,295,7,198,217,15,182
Carp,496,3,282,281,17,336
Tilapia,931,6,670,595,14,660
Milkfish (Bangus),877,11,813,815,17,800
Catfish (Hito),590,7,444,411,21,425
Tilapia,1055,4,560,553,14,597
Carp,343,6,179,169,15,183
Catfish (Hito),636,8,526,538,30,536
Carp,1335,2,814,737,11,848
Milkfish (Bangus),864,10,664,742,3,660
Tilapia,476,12,304,331,8,339
Catfish (Hito),796,2,502,497,8,575
Carp,1162,1,684,673,14,720
Tilapia,897,3,565,630,22,652
Tilapia,269,3,175,177,9,194
Milkfish (Bangus),1143,6,974,1026,10,957
Milkfish (Bangus),753,11,608,653,8,672
Tilapia,992,2,655,696,11,690
Catfish (Hito),1284,11,779,703,5,731
Tilapia,1349,6,773,758,14,758
Tilapia,627,8,419,379,6,387
Tilapia,502,5,352,317,23,343
Tilapia,1437,7,913,800,15,790
Carp,882,2,477,511,27,558
Carp,394,8,216,213,11,209
Milkfish (Bangus),792,7,693,709,9,654
Milkfish (Bangus),943,10,816,792,9,759
Catfish (Hito),437,12,335,321,19,363
Tilapia,1307,10,852,828,6,871
Milkfish (Bangus),531,12,437,411,10,457
Tilapia,851,1,538,592,9,611
Catfish (Hito),874,8,574,631,11,589
Carp,965,5,495,518,27,550
Carp,400,3,230,257,16,260
Tilapia,1269,5,822,912,23,927
Carp,737,8,402,442,7,393
Tilapia,677,11,429,453,9,425
Catfish (Hito),1197,11,929,869,20,927
Catfish (Hito),442,10,350,362,13,326
Milkfish (Bangus),1323,5,1095,1232,4,1237
Catfish (Hito),1251,1,967,1006,19,1056
Catfish (Hito),534,4,364,409,23,422
Carp,546,6,298,287,27,312
Tilapia,448,9,287,268,7,254
Milkfish (Bangus),261,1,210,184,13,216
Catfish (Hito),1033,10,704,772,4,723
Milkfish (Bangus),765,1,578,625,16,684
Tilapia,1389,10,803,732,9,740
Tilapia,666,8,384,426,20,363
Milkfish (Bangus),258,5,233,224,26,256
Milkfish (Bangus),529,12,440,423,7,455
Milkfish (Bangus),522,7,473,432,21,400
Catfish (Hito),799,8,609,641,24,579
Tilapia,543,8,317,336,17,297
Tilapia,614,11,390,401,17,397
Catfish (Hito),1400,5,1102,1139,26,1243
Milkfish (Bangus),1012,10,783,802,15,725
Tilapia,259,11,145,146,26,157
Tilapia,497,5,289,318,28,357
Tilapia,551,3,333,324,7,349
Tilapia,1499,8,1004,915,9,954
Carp,532,11,320,289,14,325
Catfish (Hito),593,1,444,455,18,439
Catfish (Hito),460,9,321,291,7,318
Milkfish (Bangus),891,12,702,661,20,727
Milkfish (Bangus),618,5,508,509,12,599
Catfish (Hito),529,5,350,336,16,400
Carp,468,5,271,239,19,305
Tilapia,767,7,473,527,24,463
Carp,765,1,426,411,24,489
Tilapia,945,1,618,671,22,714
Tilapia,954,10,513,528,11,550
Tilapia,813,11,481,482,7,514
Milkfish (Bangus),464,6,420,467,20,406
Tilapia,1408,3,931,823,19,972
Catfish (Hito),1028,7,726,736,11,699
Catfish (Hito),302,8,207,229,15,222
Tilapia,624,12,365,362,7,405
Carp,875,7,438,407,4,434
Catfish (Hito),1027,1,700,778,18,761
Milkfish (Bangus),1294,1,1037,1144,28,1119
Tilapia,1073,2,664,615,5,635
Milkfish (Bangus),254,6,222,219,12,210
Carp,1489,6,744,728,29,784
Milkfish (Bangus),1167,7,1016,917,13,888
Catfish (Hito),1146,11,904,798,20,817
Carp,310,3,158,158,8,179
Milkfish (Bangus),1073,7,744,778,13,690
Tilapia,1333,4,827,912,3,961
Catfish (Hito),1011,3,647,676,22,799
Tilapia,1468,9,854,911,15,857
Carp,571,9,304,301,7,278
Catfish (Hito),274,12,232,206,4,207
Carp,814,11,541,598,9,544
Catfish (Hito),811,3,509,482,13,532
Milkfish (Bangus),378,5,281,252,18,303
Carp,803,12,399,367,6,394
Carp,1251,1,693,676,28,766
Catfish (Hito),1034,9,657,647,8,645
Milkfish (Bangus),423,12,336,315,11,342
Carp,1066,1,559,501,17,607
Tilapia,849,8,496,536,4,501
Catfish (Hito),1345,12,931,914,19,927
Carp,1064,4,549,604,19,646
Milkfish (Bangus),312,9,294,326,12,287
Milkfish (Bangus),1446,8,1268,1387,27,1215
Carp,1196,12,729,668,19,756
Carp,1447,4,935,906,11,958
Carp,390,3,236,224,24,263
Catfish (Hito),665,8,542,565,15,530
Carp,979,4,522,490,30,557
Catfish (Hito),943,1,729,698,20,692
Milkfish (Bangus),1040,1,797,731,30,811
Milkfish (Bangus),782,12,617,639,10,638
Tilapia,745,7,531,519,4,468
Milkfish (Bangus),358,10,336,296,20,292
Catfish (Hito),433,12,362,357,19,360
Catfish (Hito),1208,4,797,727,23,870
Milkfish (Bangus),1220,4,1036,1125,22,1163
Carp,674,9,440,449,4,398
Milkfish (Bangus),336,9,306,319,23,284
Milkfish (Bangus),1392,5,1168,1214,24,1388
Milkfish (Bangus),1411,8,1101,1062,19,1086
Milkfish (Bangus),1056,1,769,849,5,903
Milkfish (Bangus),1440,3,1249,1356,14,1362
Catfish (Hito),431,6,275,282,30,298
Catfish (Hito),1102,4,844,782,10,950
Tilapia,524,10,364,335,22,330
Tilapia,1224,8,687,679,5,691
Tilapia,952,6,683,676,13,649
Catfish (Hito),764,4,529,555,11,565
Catfish (Hito),1102,4,764,694,8,832
Milkfish (Bangus),1162,7,847,787,12,838
Carp,584,2,327,301,24,361
Milkfish (Bangus),836,5,785,713,3,774
Carp,731,12,465,405,16,484
Tilapia,1058,12,723,803,29,803
Tilapia,696,1,463,454,15,498
Milkfish (Bangus),364,7,280,313,26,273
Tilapia,411,5,290,308,25,349
Milkfish (Bangus),588,3,470,474,26,529
Tilapia,257,1,179,164,19,193
Catfish (Hito),913,3,691,636,7,673
Catfish (Hito),1107,8,701,745,6,636
Milkfish (Bangus),1263,2,910,914,25,951
Milkfish (Bangus),1041,8,963,890,4,868
Tilapia,410,12,260,265,8,293
Carp,282,2,161,156,3,180
Milkfish (Bangus),1391,10,996,973,27,1049
Catfish (Hito),641,11,434,414,21,468
Milkfish (Bangus),563,11,444,389,30,425
Carp,464,8,243,251,17,253
Catfish (Hito),703,1,500,537,7,547
Milkfish (Bangus),376,8,315,300,18,274
Tilapia,1477,8,818,743,7,756
Catfish (Hito),805,4,575,600,9,632
Carp,1394,12,717,802,11,833
Catfish (Hito),679,6,501,481,26,523
Milkfish (Bangus),1190,6,995,961,11,885
Tilapia,1453,8,914,938,18,874
Catfish (Hito),612,1,467,488,30,505
Carp,610,12,343,314,4,353
Milkfish (Bangus),1349,11,1029,1075,11,1005
Milkfish (Bangus),1412,4,995,911,13,1185
Carp,559,8,296,273,21,295
Tilapia,435,10,280,307,3,273
Tilapia,410,2,278,304,30,326
Milkfish (Bangus),1123,7,865,914,13,877
Milkfish (Bangus),1439,3,1080,1077,18,1234
Milkfish (Bangus),783,8,664,580,25,605
Tilapia,1042,9,634,646,28,626
Carp,915,5,594,657,4,658
Milkfish (Bangus),946,1,799,784,4,844
Catfish (Hito),308,6,216,224,22,227
Carp,533,2,347,357,15,344
Catfish (Hito),804,4,611,629,11,632
Carp,1010,5,630,558,23,634
Tilapia,777,9,480,427,8,411
Milkfish (Bangus),1086,7,941,830,10,844
Tilapia,739,2,509,492,25,549
Carp,534,10,276,271,19,265
Carp,1355,2,789,760,15,802
Carp,503,9,325,294,28,313
Catfish (Hito),773,7,569,515,3,487
Carp,1120,12,718,748,10,780
Carp,1019,7,563,571,27,554
Catfish (Hito),1380,7,999,1066,7,940
Carp,1335,7,683,698,13,659
Carp,269,10,147,157,4,158
Milkfish (Bangus),932,2,773,845,5,880
Tilapia,614,3,439,479,6,451
Milkfish (Bangus),1280,1,897,957,5,989
Tilapia,768,10,536,474,28,511
Catfish (Hito),1216,11,994,1042,18,941
Milkfish (Bangus),498,7,480,430,26,405
Catfish (Hito),1204,4,749,824,4,929
Carp,1352,10,726,802,21,733
Tilapia,594,8,400,441,27,373
Milkfish (Bangus),1441,11,1210,1340,20,1251
Tilapia,1150,1,775,856,20,868
Catfish (Hito),334,1,283,318,8,325
Tilapia,296,10,207,221,13,191
Milkfish (Bangus),1012,3,826,770,7,814
Catfish (Hito),350,3,280,312,28,324
Catfish (Hito),767,12,580,558,13,613
Carp,1252,2,659,663,27,701
Milkfish (Bangus),296,9,255,270,22,236
Milkfish (Bangus),1495,11,1179,1291,30,1217
Tilapia,1172,10,795,860,27,802
Carp,1275,2,646,581,22,720
Tilapia,1032,8,723,753,17,668
Carp,767,10,483,491,19,474
Milkfish (Bangus),1159,11,1034,916,22,1030
Carp,892,10,546,577,5,536
Catfish (Hito),1243,3,807,775,11,876
Catfish (Hito),1120,4,857,784,26,914
Milkfish (Bangus),448,6,349,351,22,372
Milkfish (Bangus),1089,11,842,876,11,877
Tilapia,370,11,240,238,27,234
Milkfish (Bangus),721,12,557,567,12,588
Tilapia,1362,9,766,686,29,767
Catfish (Hito),1494,11,901,842,27,866
Catfish (Hito),1276,11,912,925,19,896
Milkfish (Bangus),1002,7,856,908,3,835
Catfish (Hito),665,5,520,470,26,522
Catfish (Hito),1047,7,668,608,11,592
Tilapia,847,7,482,509,20,465
Tilapia,639,3,442,495,9,499
Milkfish (Bangus),302,5,230,250,10,247
Tilapia,1459,11,896,977,19,873
Catfish (Hito),1222,4,961,968,6,976
Tilapia,1292,7,710,765,3,696
Milkfish (Bangus),1352,7,1126,1065,20,986
Catfish (Hito),1452,7,1032,971,5,907
Catfish (Hito),993,8,777,851,25,733
Catfish (Hito),832,9,651,617,3,599
Milkfish (Bangus),461,7,425,466,25,388
Tilapia,1491,8,857,801,9,759
Tilapia,941,1,572,595,9,643
Tilapia,1116,8,621,672,19,575
Milkfish (Bangus),580,3,509,492,4,554
Carp,684,3,396,350,15,414
Tilapia,1051,10,572,597,18,572
Carp,268,1,161,153,7,169
Tilapia,551,1,330,341,24,379
Milkfish (Bangus),732,5,614,693,4,745
Catfish (Hito),526,9,371,338,24,361
Carp,876,2,559,535,18,597
Catfish (Hito),708,7,500,558,4,492
Catfish (Hito),385,6,327,361,22,337
Tilapia,720,10,500,547,19,530
Catfish (Hito),819,1,609,555,6,565
Tilapia,873,8,608,653,21,616
Milkfish (Bangus),1200,12,829,856,22,859
Catfish (Hito),323,12,265,282,7,295
Milkfish (Bangus),1474,7,1047,1150,28,1138
Tilapia,1339,10,728,809,7,717
Milkfish (Bangus),711,1,524,459,15,581
Milkfish (Bangus),1346,6,1012,938,28,995
Milkfish (Bangus),817,10,731,826,3,734
Milkfish (Bangus),735,10,536,503,13,526
Catfish (Hito),790,2,637,591,18,605
Milkfish (Bangus),297,12,257,278,6,289
Catfish (Hito),1044,11,674,657,14,672
Carp,1338,4,697,659,16,736
Milkfish (Bangus),1399,1,957,878,4,1042
Tilapia,904,9,544,483,20,537
Tilapia,490,3,322,287,3,311
Catfish (Hito),1251,7,822,790,16,813
Catfish (Hito),333,1,257,265,6,289
Catfish (Hito),718,6,532,551,4,495
Catfish (Hito),941,9,752,817,8,719
Carp,1459,3,731,706,30,848
Catfish (Hito),356,7,247,276,13,245
Tilapia,1204,6,663,726,13,641
Tilapia,319,7,218,209,13,187
Tilapia,647,7,351,354,9,323
Tilapia,609,4,415,389,20,440
Carp,558,4,299,274,29,336
Catfish (Hito),486,10,317,328,7,326
Catfish (Hito),1063,5,725,804,24,879
Carp,1256,4,685,647,23,760
Tilapia,371,7,207,180,15,206
Tilapia,1112,1,659,671,18,753
Carp,1066,8,606,582,19,584
Catfish (Hito),1477,5,1006,987,14,1085
Tilapia,1489,7,870,840,22,822
Tilapia,295,12,209,218,17,208
Tilapia,1160,1,668,690,23,745
Tilapia,1300,3,727,725,6,749
Tilapia,769,6,436,431,25,482
Tilapia,882,6,565,519,16,510
Carp,1097,5,591,519,14,657
Catfish (Hito),290,6,209,215,23,205
Milkfish (Bangus),444,8,396,364,17,354
Milkfish (Bangus),806,11,679,617,9,655
Catfish (Hito),391,11,275,271,16,277
Milkfish (Bangus),1385,12,1217,1130,16,1184
Tilapia,343,8,233,254,14,227
Carp,1050,1,521,560,7,545
Catfish (Hito),364,4,309,319,29,344
Tilapia,1292,3,779,750,8,898
Catfish (Hito),1400,12,874,870,21,904
Tilapia,1357,6,722,760,6,738
Milkfish (Bangus),1298,3,1140,1003,5,1073
Carp,827,1,495,434,9,453
Milkfish (Bangus),1159,8,985,1048,8,866
Milkfish (Bangus),1212,9,948,846,10,919
Tilapia,951,10,680,651,17,682
Catfish (Hito),1150,11,924,1042,28,924
Tilapia,1245,4,802,756,25,953
Carp,505,12,301,275,16,314
Carp,361,1,238,229,22,253
Carp,446,4,301,274,26,333
Tilapia,882,1,590,588,17,625
Carp,538,3,353,317,13,371
Milkfish (Bangus),480,11,413,402,26,402
Milkfish (Bangus),796,1,660,655,29,735
Carp,724,4,403,367,14,456
Catfish (Hito),1342,12,1060,1047,28,1060
Carp,1048,12,645,644,29,698
Carp,1216,8,749,736,28,677
Carp,875,5,576,577,12,611
Catfish (Hito),685,2,506,457,20,556
Carp,699,8,374,379,15,372
Milkfish (Bangus),1352,4,1240,1306,4,1320
Catfish (Hito),505,5,416,394,11,431
Catfish (Hito),1132,2,850,906,27,895
Tilapia,1347,7,735,826,10,710
Milkfish (Bangus),420,7,335,303,20,317
Tilapia,1199,6,666,675,25,724
Carp,451,4,228,229,8,250
Tilapia,1156,8,655,680,29,620
Milkfish (Bangus),272,5,226,253,24,265
Carp,447,2,242,266,15,283
Tilapia,676,8,452,485,17,406
Carp,278,4,161,160,6,169
Carp,764,8,394,437,15,403
Catfish (Hito),736,2,509,555,17,581
Catfish (Hito),869,9,696,752,28,661
Tilapia,441,3,281,295,22,334
Tilapia,619,1,394,371,10,413
Carp,1184,9,723,725,16,711
Carp,531,2,334,314,23,353
Milkfish (Bangus),1319,5,1136,1270,9,1349
Carp,752,1,505,514,20,493
Tilapia,306,11,194,181,25,190
Catfish (Hito),1197,2,950,1008,16,1104
Catfish (Hito),1361,11,1010,884,10,1030
Milkfish (Bangus),576,8,532,485,21,504
Tilapia,265,8,171,165,15,161
Catfish (Hito),1394,1,1009,1108,12,1143
Tilapia,300,11,168,172,29,183
Carp,1233,1,636,677,7,654
Tilapia,837,8,552,511,23,489
Tilapia,1462,3,771,715,15,832
Tilapia,1500,3,784,787,11,831
Milkfish (Bangus),592,6,525,464,30,497
Catfish (Hito),464,6,353,354,6,358
Milkfish (Bangus),1366,3,1235,1241,9,1273
Tilapia,1308,12,820,867,3,826
Milkfish (Bangus),1330,5,1178,1049,9,1133
Tilapia,726,6,412,452,26,422
Tilapia,816,6,456,509,12,478
Carp,1113,9,639,659,19,665
Milkfish (Bangus),1124,1,953,980,17,999
Tilapia,1031,3,694,778,15,851
Milkfish (Bangus),1276,12,1106,1013,19,1101
Catfish (Hito),571,7,480,526,3,456
Catfish (Hito),567,9,410,443,22,446
Carp,686,10,375,335,9,348
Catfish (Hito),271,11,189,172,6,192
Tilapia,382,8,226,203,27,195
Milkfish (Bangus),1144,5,932,838,10,1046
Catfish (Hito),406,4,334,312,14,345
Catfish (Hito),1261,5,764,750,10,786
Tilapia,1388,12,872,804,20,912
Catfish (Hito),1097,8,878,896,4,840
Milkfish (Bangus),578,6,513,552,6,502
Catfish (Hito),279,9,191,183,25,190
Tilapia,375,1,208,230,5,225
Catfish (Hito),1076,7,813,818,30,787
Carp,721,2,481,517,19,516
Milkfish (Bangus),665,9,493,538,27,492
Catfish (Hito),1145,10,815,749,25,830
Tilapia,709,3,452,444,11,507
Tilapia,421,5,303,267,15,307
Catfish (Hito),1076,2,795,863,27,854
Milkfish (Bangus),691,1,641,651,29,676
Catfish (Hito),814,10,663,718,4,644
Tilapia,599,9,339,359,12,344
Carp,542,4,367,331,20,386
Carp,868,6,509,524,7,476
Tilapia,443,8,269,278,26,269
Milkfish (Bangus),1299,8,1153,1191,23,1083
Carp,742,1,424,383,13,425
Tilapia,737,4,436,464,3,507
Catfish (Hito),1258,7,991,1067,18,896
Catfish (Hito),1472,2,1067,1148,3,1122
Milkfish (Bangus),998,2,709,618,13,695
Milkfish (Bangus),373,5,318,314,20,358
Tilapia,271,6,191,211,10,191
Carp,351,5,234,229,25,241
Carp,305,4,205,214,19,224
Carp,1054,1,603,653,26,656
Tilapia,685,2,431,484,19,491
Catfish (Hito),731,10,543,522,14,541
Milkfish (Bangus),726,1,624,552,13,636
Tilapia,881,2,591,631,15,679
Milkfish (Bangus),718,10,634,648,12,631
Tilapia,944,7,537,545,24,502
Milkfish (Bangus),759,4,627,608,21,747
Milkfish (Bangus),1216,10,1116,1095,17,1113
Carp,460,8,260,233,11,236
Milkfish (Bangus),490,10,373,337,20,389
Milkfish (Bangus),1073,12,872,766,29,894
Milkfish (Bangus),948,9,862,889,3,840
Carp,867,7,467,525,20,469
Carp,453,4,280,315,4,343
Catfish (Hito),1128,7,863,827,30,827
Carp,349,8,203,187,9,198
Milkfish (Bangus),1495,11,1266,1236,13,1179
Tilapia,671,10,405,375,9,363
